dafbin meanz meanstat nmuts
1 1.2316685683921846 -0.5295878336474048 39.474
2 1.2216023526895987 -0.3420960767298919 11.137274549098196
3 1.0882782593903384 -0.1687214642648838 3.8082901554404147
4 1.0173853991977155 -0.0008984415960953689 4.335195530726257
5 0.653374538848933 0.005822630828304341 4.823529411764706
6 -0.2443631118996988 -0.2223445180211306 5.2625
7 -0.6909646102790413 -0.22120959262924667 5.013986013986014
8 -1.1659268327708563 -0.22174614003632323 5.860294117647059
9 -1.4002225265353556 -0.11141672669021388 7.921259842519685
10 -1.4404086559060487 0.021874541533745604 10.465811965811966
