dafbin meanz meanstat nmuts
1 3.517717191216421 1.117740090593394 12.044186046511628
2 2.9122607284325404 0.6208181396796033 5.7792642140468224
3 1.4982251164245983 0.037603693167473896 7.825242718446602
4 0.9412190715865605 -0.03713257836147666 6.842105263157895
5 -0.14740013493561732 -0.3614063458324362 5.518518518518518
6 -2.349682252558329 -1.1526025665982529 4.4
7 -2.4201549771088584 -0.9737059159095626 8.833333333333334
8 -3.094587202107118 -1.06744095103813 8.907216494845361
9 -4.523308160935072 -1.5733455133824685 8.221774193548388
10 -4.917872695163143 -1.9291179552898747 20.288541666666667
