dafbin meanz meanstat nmuts
1 0.2620982444759201 -1.2282607547549351 73.26
2 0.2720644277524879 -0.8829052550123596 47.73
3 0.35864357183130996 -0.535944652333246 24.64
4 0.27577441709826056 -0.35370045522718224 16.74
5 0.1113094689499463 -0.24276415321888398 14.333333333333334
6 -0.047226634291474334 -0.13523763174363088 13.112244897959183
7 -0.25247826427863146 -0.030392335314278818 11.01010101010101
8 -0.312377783503904 0.15252504496708139 11.23
9 -0.3466703840153322 0.38175521469568713 11.99
10 -0.2689297534132422 0.6791197418144972 8.585106382978724
