dafbin meanz meanstat nmuts
1 0.6944395647065613 -0.9167153560664374 48.8
2 0.6909384993787857 -0.6443355923050449 36.84
3 0.4868618953195073 -0.47141271282576874 23.494949494949495
4 0.2479648318132805 -0.36693013753179354 18.316326530612244
5 -0.27426269187779967 -0.4195845181543261 17.92
6 -0.33862830773118585 -0.26399661504975774 15.020408163265307
7 -0.5263294826562863 -0.14956489081076754 12.86
8 -0.6377667393433284 0.009845827886782742 11.141414141414142
9 -0.8718336118376244 0.13592422242025434 12.55
10 -0.8150118591243836 0.37274645402064593 12.09
