dafbin meanz meanstat nmuts
1 0.7673873588649778 -0.8641491345394127 58.591
2 0.7097752100161248 -0.6336071466750302 22.862
3 0.542964206652787 -0.4431765694829481 6.19959266802444
4 0.378774492878471 -0.3047008651232979 2.9774774774774775
5 0.20017925880552664 -0.20200916551369028 3.043918918918919
6 -0.05479421597154371 -0.13858144961437277 3.734375
7 -0.24559154617830878 -0.02739542407224962 4.510822510822511
8 -0.38768189210504655 0.11950508204171699 4.673529411764706
9 -0.802845181605257 0.16821798055308024 5.9
10 -0.8901129292875272 0.33061183444223047 6.894927536231884
