dafbin meanz meanstat nmuts
1 0.1035012567867398 -1.342545833345298 89.03
2 0.10917312948101136 -0.9756799687484077 55.9
3 0.09170660221639557 -0.6702933156667251 27.99
4 0.06817084868617596 -0.4524624190339162 19.13
5 0.11663430652681375 -0.24032222452376675 15.85
6 0.16992232440299074 -0.039288014099214334 13.35
7 0.03990226044280733 0.09684366719423249 11.626262626262626
8 0.021342088614752387 0.2988572705190903 10.07
9 -0.22825611066446577 0.43718540625370744 10.01
10 -0.3739312857098542 0.6202098007329963 8.56842105263158
