dafbin meanz meanstat nmuts
1 0.9462499485130628 -0.7352606517715773 50.763
2 0.9045472458846195 -0.5226747637716087 17.407
3 0.7429086351758478 -0.3425450730221866 4.684807256235827
4 0.5039231921744377 -0.24516464710514604 3.0817757009345796
5 0.34003762579246943 -0.13787121676548125 3.925
6 -0.22833574605463636 -0.21526265295520283 4.689655172413793
7 -0.38247790766439316 -0.08696462229438866 4.876237623762377
8 -0.7966435291672245 -0.05981976947753358 5.288343558282208
9 -1.0123598180291125 0.07014334729690078 7.465618860510806
10 -1.026503180967929 0.2540916016908965 8.284313725490197
