dafbin meanz meanstat nmuts
1 0.33567361933051343 -1.1752422982250297 69.55
2 0.42067004816447906 -0.7982669468916093 42.33
3 0.4862678887242576 -0.4717116747574868 23.09
4 0.3712578017797192 -0.308276734169863 18.757575757575758
5 0.04061897104124446 -0.27518226040497024 14.919191919191919
6 -0.09504563096457846 -0.15636697297791113 13.360824742268042
7 -0.3351818573702527 -0.06638267560145746 12.48
8 -0.3217260276795866 0.14842595021870278 12.17
9 -0.44230360034253985 0.33698892639005606 11.72
10 -0.37471186013139474 0.6197718681411862 9.739583333333334
