dafbin meanz meanstat nmuts
1 1.878415278936012 -0.06354179002760427 21.627
2 2.0125614944759405 0.10839458013651003 6.597907324364724
3 1.9008795415378168 0.2402585891053084 4.302469135802469
4 1.031871998951986 0.0059931790612818515 5.47887323943662
5 0.5684038966608458 -0.03314423837781711 5.719298245614035
6 -0.5478464191965005 -0.35644190200887754 7.304347826086956
7 -1.105124856169106 -0.4014407969312411 5.181818181818182
8 -2.180660160969117 -0.6666947291459723 5.890510948905109
9 -3.0160270397403717 -0.8677812354001104 8.48960739030023
10 -2.523772713966222 -0.5859348059513628 15.760143198090692
