dafbin meanz meanstat nmuts
1 1.3727494549298374 -0.42792486740524033 33.95
2 1.3620296429628664 -0.26211573527470383 8.550253807106598
3 1.2978913621940575 -0.06322374988126579 4.510416666666667
4 0.9108464054997063 -0.05158157927089114 5.2063492063492065
5 0.6501428409988784 0.004340599573814963 6.830985915492958
6 -0.265235208607597 -0.23156707985426336 6.928571428571429
7 -0.7501443386723293 -0.2469629907992353 5.403846153846154
8 -1.4219612150172414 -0.33401419507928437 6.110132158590308
9 -1.8203237852979965 -0.30806779406602136 8.44927536231884
10 -1.65712249746214 -0.09971034735674644 11.836265223274696
