dafbin meanz meanstat nmuts
1 1.0119439674260413 -0.6879215047689846 35.6
2 0.5986363445308308 -0.6969062703222813 34.06
3 0.194842205530857 -0.6183854421811645 22.96
4 0.052176958412477416 -0.4600710937037292 19.12
5 -0.08199095242319958 -0.3314102084112451 16.958333333333332
6 -0.6022354476116588 -0.3804742828771112 15.581632653061224
7 -0.6327928690346 -0.1958948428799127 12.494949494949495
8 -0.9255129093218444 -0.11632747183224487 11.181818181818182
9 -1.0502627705807077 0.052400824701468056 13.193877551020408
10 -1.7818495813566388 -0.16968708962691023 11.333333333333334
