dafbin meanz meanstat nmuts
1 1.5601630953065135 -0.29287449266968424 28.101
2 1.6404125830995455 -0.10356277477747325 7.165924276169265
3 1.54573783165461 0.061516715749939326 4.527472527472527
4 1.2252717658372885 0.09799805606533794 4.529411764705882
5 0.7737193960969543 0.06101183725600956 5.9411764705882355
6 -0.4697265515984263 -0.32192379300420043 6.36734693877551
7 -1.3874029906501568 -0.5242805156886626 4.9787234042553195
8 -1.829805107509181 -0.512848928795471 6.537634408602151
9 -2.1618475890259594 -0.4679364427226902 8.384453781512605
10 -1.9233183139264098 -0.24905654756032355 13.26923076923077
