dafbin meanz meanstat nmuts
1 0.789940012306682 -0.847897679776238 42.68
2 0.7587863239668259 -0.6056928743049803 33.85
3 0.3584081426973721 -0.536063143187098 21.262626262626263
4 0.15501108309403924 -0.4111504504913828 17.828282828282827
5 -0.2521072002773244 -0.4094241837004328 16.802083333333332
6 -0.42867872753676645 -0.3037863676740005 14.545454545454545
7 -0.6146895333635778 -0.18801676664673958 12.591836734693878
8 -0.7183517518773421 -0.0254897490909224 11.536842105263158
9 -0.9875271966109004 0.08176759598878516 11.373737373737374
10 -0.9032404507506403 0.3232467846279712 12.510204081632653
