dafbin meanz meanstat nmuts
1 0.5396611571039284 -1.0282487636972624 58.12
2 0.6284689074693214 -0.6799151387148803 38.65
3 0.573806566833506 -0.4276536920399812 23.71
4 0.377642067056973 -0.3052395870674915 16.90909090909091
5 0.0027568409407974564 -0.2925455359257491 16.35483870967742
6 -0.28306949571160017 -0.23944735263511308 13.229166666666666
7 -0.5810361905670578 -0.17337175288408446 11.67
8 -0.5688749895416505 0.04005404715359149 12.346938775510203
9 -0.6053418061687846 0.2606700948464382 13.57
10 -0.5792141918534106 0.505038110935224 10.195652173913043
