dafbin meanz meanstat nmuts
1 0.3818637880489691 -1.1419576366497644 75.6
2 0.3118639228613482 -0.8602374587289159 38.742
3 0.1817038394645643 -0.62499794670588 14.862
4 0.01924697401700656 -0.4757366718626095 6.9678068410462775
5 -0.07347345765673383 -0.3275041522019255 3.8260869565217392
6 -0.2086293786793163 -0.20655518124458386 2.872950819672131
7 -0.24549036167204086 -0.027351391344332534 3.0817120622568095
8 -0.25812380643133936 0.1763147736388378 3.600461893764434
9 -0.2619822328116717 0.4213980745560364 3.8689320388349513
10 -0.3669773838668608 0.6241112099686265 4.183023872679045
