dafbin meanz meanstat nmuts
1 0.5324124066793805 -1.033472217332932 63.01
2 0.5439659762023479 -0.728043770147878 37.33
3 0.5364889467220161 -0.4464355504989191 23.303030303030305
4 0.39598689235006457 -0.2965125165961357 16.80808080808081
5 0.04516464707231315 -0.27309764907575423 14.5
6 -0.24359585252263824 -0.22200549616117926 14.66326530612245
7 -0.32558512348846597 -0.06220643965886218 11.26
8 -0.5872312877689986 0.03200502701148492 11.727272727272727
9 -0.5578609264619401 0.2828960831755256 11.819148936170214
10 -0.7605752137500755 0.4032875280557961 12.0
