dafbin meanz meanstat nmuts
1 0.6010985542100932 -0.9839769407643698 55.94
2 0.67340939798183 -0.6543192892944474 36.15
3 0.4576605170903125 -0.4861096884385782 26.08
4 0.33852402160267236 -0.32384897330732343 18.62
5 -0.06046515869404237 -0.321538648455922 17.082474226804123
6 -0.39912883838460245 -0.2907294293279394 14.726315789473684
7 -0.5838902128848006 -0.174613745288078 13.303030303030303
8 -0.44461339104515274 0.09454129162963337 12.575757575757576
9 -0.7054527629026273 0.21380775847613312 11.783505154639176
10 -0.6595877590787433 0.45994541556027096 11.677083333333334
