dafbin meanz meanstat nmuts
1 1.0648913383210319 -0.6497675995022202 34.48
2 0.676172584745849 -0.6527455167003832 31.53
3 0.2739623377322254 -0.5785644911178617 24.80808080808081
4 0.006167580926564456 -0.4819588507822324 18.489795918367346
5 -0.2609345810915522 -0.41347235121762355 16.305263157894736
6 -0.6245009703416788 -0.39031254507943863 14.322916666666666
7 -0.7347528250016659 -0.24026502528365914 12.291666666666666
8 -0.8159235837069936 -0.06827384586099013 14.447916666666666
9 -1.3101967682597484 -0.06927531176477657 11.83838383838384
10 -1.9038943721503736 -0.23815896120544522 11.8659793814433
