dafbin meanz meanstat nmuts
1 3.515642324994084 1.1162449408257984 12.479166666666666
2 2.922643583634199 0.6267316932537872 6.545751633986928
3 1.9875674693918024 0.2838883914932399 5.729166666666667
4 0.791032327873151 -0.10857999065948003 6.758620689655173
5 -0.39034731937309025 -0.4728200166743609 6.8
6 -1.0714597044668737 -0.5878060992736636 6.942857142857143
7 -1.7010346679023745 -0.6607644381784756 7.480769230769231
8 -3.3359459289002875 -1.1732739043585907 6.608695652173913
9 -4.664734075949017 -1.6395475457782036 7.769230769230769
10 -4.848142541596737 -1.8899966286924916 19.869565217391305
