dafbin mean sd
1 -1.4171288972383898 0.7206005628198975
2 -1.0378595077584603 0.5695498453295454
3 -0.716449003447259 0.503297327182862
4 -0.4848929159763111 0.47572382576148803
5 -0.29380980153085473 0.45859214668363024
6 -0.11437003223892668 0.44186082319381736
7 0.079479295491865 0.4351726320682047
8 0.2894990165287061 0.43848819856906607
9 0.5440329980210509 0.4681039708260356
10 0.8299997869159705 0.5610388705099079
