tau mean_z
0 -2.2345149636784423
0.0001 -2.1343778485923384
0.001 -2.0479227423066266
0.01 -0.46072772048382626
0.02 0.4045067168905357
0.03 0.7151415344540674
0.04 0.7819639818653116
0.05 0.8118812189977218
0.075 0.7178949345975363
0.1 0.6162114414921194
0.15 0.4288054884377389
0.20 0.2834937632700765
